policy_steps,policy_prompt_tokens,policy_output_tokens,final_context_tokens,wm_steps,wm_calls,run,task
6,13352,632,4530,6,2,JEPA s8h3 (ablation),task_20251204_125827_230_6f5b66fc_51e4bc12
15,34563,244,3915,15,4,JEPA s8h3 (ablation),task_20251204_132620_055_5c0cd3a2_048c6e95
6,8632,269,2006,6,2,JEPA s8h3 (ablation),task_20251204_145059_811_e5bf1251_3b195ec1
19,57280,1949,5762,19,5,JEPA s8h3 (ablation),task_20251204_160336_295_5c0cd3a2_26d1b04a
8,13603,157,2548,8,2,JEPA s8h3 (ablation),task_20251204_231522_245_e6427839_5d09c3c2
4,5454,236,2229,4,1,JEPA s8h3 (ablation),task_20251205_032409_945_0a0bf089_61f5be29
18,66943,2670,7181,18,5,JEPA s8h3 (ablation),task_20251205_101915_742_d4a463c3_8eac8077
16,65057,1005,6856,16,4,JEPA s8h3 (ablation),task_20251205_192805_864_464ee3e0_91f2c02f
8,15202,188,2853,8,2,JEPA s8h3 (ablation),task_20251206_091748_833_a8eea1c0_7775ff15
3,4514,253,1973,3,1,JEPA s8h3 (ablation),task_20251206_114027_879_5c0cd3a2_904991cc
8,13932,186,2480,8,3,JEPA s8h3 (ablation),task_20251209_094942_478_701c5774_dc4a4b13
6,11522,86,2840,6,2,JEPA s8h3 (ablation),task_20251209_141356_232_4a23b9c9_9d41f343
11,38397,344,5408,11,3,JEPA s8h3 (ablation),task_20251210_150413_088_8db296d5_81f04ff0
6,10901,250,2888,6,2,JEPA s8h3 (ablation),task_20251210_205620_593_391f1eff_ad65c160
5,16212,1077,5557,5,1,JEPA s8h3 (ablation),task_20251211_194841_657_8ce75c22_43c6bc2f
2,2549,113,1508,2,1,JEPA s8h3 (ablation),task_20251212_172511_458_e6427839_47076c15
7,9209,153,2305,7,2,JEPA s8h3 (ablation),task_20251215_113102_438_df2c536d_49cda522
8,20556,980,4180,8,2,JEPA s8h3 (ablation),task_20251216_131651_690_764e5ead_f8619b02
17,64670,1469,6939,17,4,JEPA s8h3 (ablation),task_20251217_073807_153_761f6b82_cba63024
6,10297,187,2291,6,1,JEPA s8h3 (ablation),task_20251217_140216_182_701c5774_9fcdf867
7,15212,992,4031,7,2,JEPA s8h3 (ablation),task_20251217_183416_700_764e5ead_4c46beb0
13,40479,683,5031,13,3,JEPA s8h3 (ablation),task_20251217_205244_161_764e5ead_20429ef8
10,29256,872,4762,10,2,JEPA s8h3 (ablation),task_20251217_231709_248_b25153b4_4c5f9bde
5,12291,1291,4420,5,1,JEPA s8h3 (ablation),task_20251218_063226_501_97d7df7d_8fd400d1
7,17493,885,3972,7,2,JEPA s8h3 (ablation),task_20251218_082708_201_99ba2325_51726f9c
11,27781,635,3860,11,3,JEPA s8h3 (ablation),task_20251218_102205_211_1628b966_06687c79
6,10591,182,2549,6,2,JEPA s8h3 (ablation),task_20251218_103430_472_701c5774_42c99459
6,11404,276,2731,6,2,JEPA s8h3 (ablation),task_20251218_115158_065_1628b966_72217cb4
12,31744,316,4400,12,3,JEPA s8h3 (ablation),task_20251218_121722_423_1d219d93_8218da6c
5,8568,253,2652,5,1,JEPA s8h3 (ablation),task_20251218_124419_383_66392a82_52c8290e
9,20431,372,4072,9,3,JEPA s8h3 (ablation),task_20251218_143555_095_97d7df7d_ece487bd
9,20182,148,3487,9,2,JEPA s8h3 (ablation),task_20251219_114935_971_a8eea1c0_188fc892
10,32187,3102,6286,10,3,JEPA s8h3 (ablation),task_20251219_115208_288_701c5774_66a236f8
12,38588,896,5241,12,3,JEPA s8h3 (ablation),task_20251219_205632_335_cd46e60f_4db23138
7,20817,329,5030,7,2,JEPA s8h3 (ablation),task_20251222_130954_812_a9f62433_c0252ed2
4,11044,661,4733,4,1,JEPA s8h3 (ablation),task_20251222_131624_825_8ce75c22_535e7ced
11,27584,222,4080,11,2,JEPA s8h3 (ablation),task_20251223_061756_991_a8eea1c0_e497a345
8,16030,513,3387,8,2,JEPA s8h3 (ablation),task_20251223_194142_190_46ca2862_d9cae434
6,11279,211,2712,6,2,JEPA s8h3 (ablation),task_20251224_195437_497_e6427839_6357fed2
13,38471,927,5487,13,3,JEPA s8h3 (ablation),task_20251224_215807_175_8ce75c22_1c31b786
12,100495,1654,13508,12,3,JEPA s8h3 (ablation),task_20251225_062927_003_d9bcd1e5_d996901a
15,57565,1385,6988,15,4,JEPA s8h3 (ablation),task_20251225_165311_201_4d9df647_7b3f1641
9,25974,617,5075,9,3,JEPA s8h3 (ablation),task_20251225_180047_141_a8eea1c0_002e725f
6,12363,292,3171,6,2,JEPA s8h3 (ablation),task_20251226_072511_447_4f1a62dd_cdc0e960
8,17709,902,4136,8,3,JEPA s8h3 (ablation),task_20260104_192853_372_6f5b66fc_12ceda34
8,24262,1061,5671,8,2,JEPA s8h3 (ablation),task_20260104_205924_379_e0ac0c6d_cec96398
10,18975,171,3038,10,3,JEPA s8h3 (ablation),task_20260105_145825_060_701c5774_1054ca6e
4,5932,209,2027,4,1,JEPA s8h3 (ablation),task_20260105_153912_808_8ce75c22_f7553dba
5,7496,262,2476,5,2,JEPA s8h3 (ablation),task_20260105_175342_189_e5bf1251_60089921
9,24348,571,4360,9,3,JEPA s8h3 (ablation),task_20260106_003109_589_b5bd4eb9_d0454fa5
6,14077,369,3714,6,1,JEPA s8h3 (ablation),task_20260106_040225_149_7ebc1127_e9ac645c
7,25473,844,5273,7,2,JEPA s8h3 (ablation),task_20260106_112645_853_8e9e30d7_1d4b934c
10,29399,923,5182,10,3,JEPA s8h3 (ablation),task_20260106_123514_994_0154326e_7a42392c
3,5136,294,2657,3,1,JEPA beam mp5,task_20251121_134729_533_464ee3e0_2dcf2712
7,17091,248,3783,7,2,JEPA beam mp5,task_20251125_110309_032_464ee3e0_33f12828
4,6094,137,2158,4,1,JEPA beam mp5,task_20251125_150631_436_e5bf1251_77dd7cbb
5,10141,116,2687,5,1,JEPA beam mp5,task_20251126_054150_897_7ebc1127_60097647
50,251064,1873,9095,50,8,JEPA beam mp5,task_20251126_055301_905_8e9e30d7_6aab00b8
6,13481,446,3640,6,1,JEPA beam mp5,task_20251126_070103_077_501bbb2c_7c7c4ea6
5,15865,625,5687,5,1,JEPA beam mp5,task_20251126_122314_557_be6c9105_daf0aae1
6,13026,769,3848,6,1,JEPA beam mp5,task_20251126_145836_025_be6c9105_3b572b98
10,31952,1640,5783,10,2,JEPA beam mp5,task_20251126_182216_326_66392a82_d3ff64ca
5,7976,135,2138,5,1,JEPA beam mp5,task_20251127_070938_325_b393a327_a40b1f4e
11,27418,903,4035,11,2,JEPA beam mp5,task_20251127_152838_396_99ba2325_8391501f
7,29133,1950,8094,7,1,JEPA beam mp5,task_20251127_173847_074_4d9df647_632c493d
10,32259,1141,5597,10,2,JEPA beam mp5,task_20251128_123025_545_13762b97_ad80b87c
3,2742,74,1122,3,1,JEPA beam mp5,task_20251128_154607_365_1628b966_a730b5cf
11,36855,983,6208,11,2,JEPA beam mp5,task_20251201_113908_295_e81f6083_e770442c
9,16809,227,2847,9,2,JEPA beam mp5,task_20251203_051113_560_99ba2325_1ff9b6e5
8,26876,986,7387,8,2,JEPA beam mp5,task_20251203_091910_549_bca89e7d_de59e44a
13,23004,154,3134,13,3,JEPA beam mp5,task_20251203_104951_949_701c5774_5a606512
6,12833,331,3529,6,1,JEPA beam mp5,task_20251203_125054_648_be6c9105_0ec24467
8,19697,582,4314,8,1,JEPA beam mp5,task_20251203_184109_641_6f5b66fc_e62d330e
6,17363,1457,5012,6,1,JEPA beam mp5,task_20251203_190727_704_e81f6083_f2fd8fe6
6,10352,368,2784,6,1,JEPA beam mp5,task_20251203_194320_796_df2c536d_c885488e
6,13159,340,3595,6,1,JEPA beam mp5,task_20251204_045548_265_4d9df647_18dae74a
20,135329,2022,12051,20,3,JEPA beam mp5,task_20251204_083406_171_e7cfb93b_89e0d558
5,13354,234,4829,5,1,JEPA beam mp5,task_20251204_092258_460_be6c9105_33990b9e
18,69074,1564,6831,18,4,JEPA beam mp5,task_20251204_115043_305_e81f6083_4acfd9ea
7,18087,768,4739,7,1,JEPA beam mp5,task_20251204_122816_238_13762b97_cd4a8a4f
9,26565,598,5574,9,1,JEPA beam mp5,task_20251204_125827_230_6f5b66fc_51e4bc12
14,31760,230,3814,14,3,JEPA beam mp5,task_20251204_132620_055_5c0cd3a2_048c6e95
6,8632,272,2009,6,1,JEPA beam mp5,task_20251204_145059_811_e5bf1251_3b195ec1
