benchmark,world_model,harness,rollout_mode,runs,success_rate_pct,success_rate_stdev,mean_task_seconds,total_tasks,on_pareto_front,summary_files
Workspace-Bench,LLM-WM (tool output),itp_i,closed_loop,1,25.0,0.0,12.833594264676794,100,True,ejepa-wm-harnesses-workspace-bench-agentworld-20260906T063334Z.json
Workspace-Bench,LLM-WM (state output),itp_i,closed_loop,3,20.666666666666668,17.897858344878397,11.432429006379097,100,True,ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T153544Z.json;ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173220Z.json;ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173305Z.json
Workspace-Bench,LLM-WM (state output),beam_interval,closed_loop,3,16.0,16.0,42.30499685970135,100,False,ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T153544Z.json;ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173220Z.json;ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173305Z.json
crmarenapro,LLM-WM (state output),beam_interval,closed_loop,1,34.0,0.0,169.38916666666668,100,True,ejepa-wm-harnesses-crmarenapro-llm-wm-20260908T163958Z.json
crmarenapro,Enterprise-JEPA,reference,closed_loop,1,32.0,0.0,74.25707070707071,100,True,ejepa-wm-harnesses-crmarenapro-jepa-revised-harness-20260908T220235Z.json
crmarenapro,Enterprise-JEPA,beam_critic,open_loop,1,30.0,0.0,81.6324,100,False,ejepa-wm-harnesses-crmarenapro-beam-critic-separate-20260913T143523Z.json
crmarenapro,LLM-WM (state output),itp_i,closed_loop,1,30.0,0.0,79.47252525252524,100,False,ejepa-wm-harnesses-crmarenapro-llm-wm-20260908T163958Z.json
crmarenapro,Enterprise-JEPA,beam_critic,closed_loop,1,28.999999999999996,0.0,178.46875,100,False,ejepa-wm-harnesses-crmarenapro-jepa-revised-harness-20260908T220235Z.json
crmarenapro,Enterprise-JEPA,revision,closed_loop,1,28.000000000000004,0.0,103.399793814433,100,False,ejepa-wm-harnesses-crmarenapro-jepa-revised-harness-20260908T220235Z.json
crmarenapro,LLM-WM (state output),beam_critic,closed_loop,1,27.0,0.0,189.77677966101695,100,False,ejepa-wm-harnesses-crmarenapro-llm-wm-20260908T163958Z.json
crmarenapro,LLM-WM (tool output),revision,closed_loop,1,26.0,0.0,189.93974358974359,100,False,ejepa-wm-harnesses-crmarenapro-agentworld-revised-harness-20260906T000410Z.json
crmarenapro,Enterprise-JEPA,beam_interval,closed_loop,2,25.0,12.727922061357855,96.78326515151514,100,False,ejepa-wm-harnesses-crmarenapro-jepa-20260904T213144Z.json;ejepa-wm-harnesses-crmarenapro-jepa-revised-harness-20260908T220235Z.json
crmarenapro,LLM-WM (state output),revision,closed_loop,1,23.0,0.0,124.30540816326531,100,False,ejepa-wm-harnesses-crmarenapro-llm-wm-20260908T163958Z.json
crmarenapro,Enterprise-JEPA,itp_i,closed_loop,2,21.5,9.192388155425121,99.50990555555556,100,False,ejepa-wm-harnesses-crmarenapro-jepa-20260904T213144Z.json;ejepa-wm-harnesses-crmarenapro-jepa-revised-harness-20260908T220235Z.json
crmarenapro,LLM-WM (tool output),itp_i,closed_loop,2,13.5,3.5355339059327378,35.60125,100,True,ejepa-wm-harnesses-crmarenapro-agentworld-20260904T202248Z.json;ejepa-wm-harnesses-crmarenapro-agentworld-revised-harness-20260905T033125Z.json
crmarenapro,LLM-WM (tool output),beam_interval,closed_loop,1,13.0,0.0,277.8345238095238,100,False,ejepa-wm-harnesses-crmarenapro-agentworld-revised-harness-20260905T033125Z.json
crmarenapro,LLM-WM (tool output),beam_critic,closed_loop,1,4.0,0.0,254.93800000000002,100,False,ejepa-wm-harnesses-crmarenapro-agentworld-revised-harness-20260905T033125Z.json
