benchmark,target,world_model,world_model_checkpoint,harness,rollout_mode,config_model_name,runs,tasks,expected_tasks_per_run,task_completeness,critic_fire_rate,avg_tool_calls,avg_failed_tool_calls,avg_unnecessary_tool_calls,avg_wm_steps,avg_wm_calls,avg_advice_injections,avg_terminal_advice_injections,avg_replans,avg_replans_with_plan,avg_beam_plan_steps,avg_imagined_plan_steps,avg_planning_llm_calls,avg_critic_checks,avg_critic_fires,avg_action_overrides,avg_refinement_rounds,avg_refinement_score_passes,avg_revisions,avg_reference_injections,avg_judge_calls,avg_wm_model_calls,source_files
Terminal-Bench-2.0,all,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,itp_i,closed_loop,,1,89,89,1.0,,20.4186,1.186,1.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-llm-wm-20260910T052224Z.json
Terminal-Bench-2.0,all,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,revision,closed_loop,,1,89,89,1.0,,19.2727,1.1591,1.1591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-llm-wm-20260913T171052Z.json
Terminal-Bench-2.0,all,LLM-WM (tool output),world_model2,beam_interval,closed_loop,,1,89,89,1.0,,15.4471,1.1412,1.1412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-agentworld-20260906T203058Z.json
Terminal-Bench-2.0,all,LLM-WM (tool output),world_model2,itp_i,closed_loop,,1,89,89,1.0,,21.3034,1.3034,1.3034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-agentworld-20260906T203058Z.json
Terminal-Bench-2.0,all,LLM-WM (tool output),world_model2,revision,closed_loop,,1,89,89,1.0,,19.6471,1.0706,1.0706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-agentworld-20260906T203058Z.json
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,open_loop,wm_agent1,1,100,100,1.0,0.2111,5.17,,,1.3617,1.7872,0.0426,0.2766,0.4468,0.4043,2.4468,0.766,3.0638,1.9149,0.4043,0.0,0.4255,0.383,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-WorkBench-beam-critic-separate-20260913T165159Z.json
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,closed_loop,wm_agent1,1,100,100,1.0,,4.91,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-jepa-20260909T153841Z.json
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,closed_loop,wm_agent,1,100,100,1.0,0.2923,5.37,,,1.1364,1.3636,0.3636,0.0909,0.8409,0.4773,1.9091,1.4545,1.5455,1.4773,0.4318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-jepa-20260910T183732Z.json
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_interval,closed_loop,wm_agent1,1,100,100,1.0,,4.91,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-jepa-20260909T153841Z.json
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_interval,closed_loop,wm_agent,1,100,100,1.0,,4.95,,,0.0,0.0,0.8889,0.0,0.9778,1.0,1.0,3.7333,3.7333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-jepa-20260910T183732Z.json
